Name,RequiredServices,CanPauseAndContinue,CanShutdown,CanStop,DisplayName,DependentServices,MachineName,ServiceName,ServicesDependedOn,ServiceHandle,Status,ServiceType,Site,Container
LENOVO.MICMUTE,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Lenovo Microphone Mute,System.ServiceProcess.ServiceController[],.,LENOVO.MICMUTE,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
lltdsvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Link-Layer Topology Discovery Mapper,System.ServiceProcess.ServiceController[],.,lltdsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
lmhosts,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,TCP/IP NetBIOS Helper,System.ServiceProcess.ServiceController[],.,lmhosts,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
lpasvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Microsoft Policy Platform Local Authority,System.ServiceProcess.ServiceController[],.,lpasvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
lppsvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Microsoft Policy Platform Processor,System.ServiceProcess.ServiceController[],.,lppsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
MBAMAgent,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,BitLocker Management Client Service,System.ServiceProcess.ServiceController[],.,MBAMAgent,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
Mcx2Svc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Media Center Extender Service,System.ServiceProcess.ServiceController[],.,Mcx2Svc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
MMCSS,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Multimedia Class Scheduler,System.ServiceProcess.ServiceController[],.,MMCSS,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
MozillaMaintenance,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Mozilla Maintenance Service,System.ServiceProcess.ServiceController[],.,MozillaMaintenance,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
MpsSvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Windows Firewall,System.ServiceProcess.ServiceController[],.,MpsSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
MSDTC,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Distributed Transaction Coordinator,System.ServiceProcess.ServiceController[],.,MSDTC,System.ServiceProcess.ServiceController[],,Stopped,Win32OwnProcess,,
MSiSCSI,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Microsoft iSCSI Initiator Service,System.ServiceProcess.ServiceController[],.,MSiSCSI,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
msiserver,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Windows Installer,System.ServiceProcess.ServiceController[],.,msiserver,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
MSSQL$SQLEXPRESS,System.ServiceProcess.ServiceController[],TRUE,TRUE,TRUE,SQL Server (SQLEXPRESS),System.ServiceProcess.ServiceController[],.,MSSQL$SQLEXPRESS,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
MyWiFiDHCPDNS,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Wireless PAN DHCP Server,System.ServiceProcess.ServiceController[],.,MyWiFiDHCPDNS,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
MyWindowsService,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,My Windows Service (Jenkins CI test),System.ServiceProcess.ServiceController[],.,MyWindowsService,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
napagent,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Network Access Protection Agent,System.ServiceProcess.ServiceController[],.,napagent,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
Net Driver HPZ12,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Net Driver HPZ12,System.ServiceProcess.ServiceController[],.,Net Driver HPZ12,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
Netlogon,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Netlogon,System.ServiceProcess.ServiceController[],.,Netlogon,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
Netman,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Network Connections,System.ServiceProcess.ServiceController[],.,Netman,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
NetMsmqActivator,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Net.Msmq Listener Adapter,System.ServiceProcess.ServiceController[],.,NetMsmqActivator,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
NetPipeActivator,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Net.Pipe Listener Adapter,System.ServiceProcess.ServiceController[],.,NetPipeActivator,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
netprofm,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Network List Service,System.ServiceProcess.ServiceController[],.,netprofm,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
NetTcpActivator,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Net.Tcp Listener Adapter,System.ServiceProcess.ServiceController[],.,NetTcpActivator,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
NetTcpPortSharing,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Net.Tcp Port Sharing Service,System.ServiceProcess.ServiceController[],.,NetTcpPortSharing,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
NlaSvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Network Location Awareness,System.ServiceProcess.ServiceController[],.,NlaSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
nsi,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Network Store Interface Service,System.ServiceProcess.ServiceController[],.,nsi,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
ose,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Office  Source Engine,System.ServiceProcess.ServiceController[],.,ose,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
osppsvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Office Software Protection Platform,System.ServiceProcess.ServiceController[],.,osppsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
p2pimsvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Peer Networking Identity Manager,System.ServiceProcess.ServiceController[],.,p2pimsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
p2psvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Peer Networking Grouping,System.ServiceProcess.ServiceController[],.,p2psvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
PcaSvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Program Compatibility Assistant Service,System.ServiceProcess.ServiceController[],.,PcaSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
PeerDistSvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,BranchCache,System.ServiceProcess.ServiceController[],.,PeerDistSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
PerfHost,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Performance Counter DLL Host,System.ServiceProcess.ServiceController[],.,PerfHost,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
pla,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Performance Logs & Alerts,System.ServiceProcess.ServiceController[],.,pla,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
